Wavelength	OD
196.210000 0.000414
197.010000 0.002017
197.810000 -0.001436
198.610000 -0.001695
199.410000 -0.002991
200.210000 -0.002751
201.010000 -0.001090
201.810000 -0.000285
202.610000 -0.001303
203.410000 -0.000556
204.220000 0.000104
205.020000 -0.000210
205.820000 0.000248
206.620000 -0.001089
207.420000 -0.001346
208.220000 -0.001517
209.020000 -0.001847
209.820000 -0.002684
210.620000 -0.000249
211.420000 0.001430
212.220000 0.002798
213.020000 0.002050
213.820000 -0.009836
214.610000 -0.012343
215.410000 -0.013377
216.210000 -0.014946
217.010000 -0.014489
217.810000 -0.004046
218.610000 -0.002313
219.410000 -0.000912
220.210000 -0.000587
221.010000 -0.000674
221.810000 0.002676
222.610000 0.000026
223.410000 -0.000593
224.200000 -0.014275
225.000000 -0.013472
225.800000 -0.014338
226.600000 -0.018116
227.400000 -0.020401
228.200000 -0.009612
228.990000 -0.011844
229.790000 -0.005754
230.590000 0.001122
231.390000 0.003601
232.190000 0.002696
232.980000 0.004452
233.780000 -0.000676
234.580000 -0.001815
235.380000 -0.003350
236.180000 -0.002244
236.970000 -0.002823
237.770000 -0.002900
238.570000 -0.002406
239.370000 -0.001455
240.160000 -0.001583
240.960000 -0.000831
241.760000 -0.010217
242.550000 -0.009022
243.350000 0.000111
244.150000 0.000990
244.940000 0.012943
245.740000 0.020741
246.540000 0.020182
247.330000 0.013749
248.130000 0.013610
248.930000 -0.000920
249.720000 -0.002812
250.520000 -0.001738
251.320000 -0.001721
252.110000 -0.004511
252.910000 -0.001268
253.700000 -0.002503
254.500000 -0.002576
255.300000 -0.003603
256.090000 -0.002856
256.890000 -0.005297
257.680000 -0.004961
258.480000 -0.006096
259.270000 -0.004875
260.070000 0.009333
260.870000 0.010346
261.660000 0.009700
262.460000 0.010505
263.250000 0.012334
264.050000 -0.000393
264.840000 -0.000375
265.640000 0.001409
266.430000 0.001896
267.230000 0.001112
268.020000 0.000242
268.810000 0.000169
269.610000 -0.000301
270.400000 -0.001487
271.200000 -0.003167
271.990000 -0.005245
272.790000 -0.005967
273.580000 -0.005353
274.380000 -0.003472
275.170000 -0.002762
275.960000 0.000837
276.760000 0.002444
277.550000 0.007947
278.340000 0.006863
279.140000 0.007511
279.930000 0.005594
280.730000 0.004001
281.520000 -0.003644
282.310000 -0.006115
283.110000 -0.006817
283.900000 -0.005573
284.690000 -0.004226
285.490000 -0.003827
286.280000 -0.000806
287.070000 0.001426
287.860000 -0.002441
288.660000 -0.003210
289.450000 -0.002022
290.240000 -0.003991
291.030000 -0.006623
291.830000 -0.004923
292.620000 -0.004218
293.410000 -0.005020
294.200000 -0.003146
295.000000 -0.000791
295.790000 -0.000839
296.580000 -0.000632
297.370000 -0.000298
298.160000 -0.001409
298.960000 -0.001812
299.750000 -0.009688
300.540000 -0.013870
301.330000 -0.014065
302.120000 -0.013268
302.920000 -0.012885
303.710000 -0.005870
304.500000 -0.002759
305.290000 -0.004601
306.080000 -0.004463
306.870000 -0.002688
307.660000 -0.001012
308.450000 -0.001894
309.240000 -0.000315
310.040000 -0.000732
310.830000 -0.002697
311.620000 -0.003271
312.410000 -0.001339
313.200000 -0.001209
313.990000 -0.001171
314.780000 -0.000474
315.570000 -0.001598
316.360000 -0.012322
317.150000 -0.012975
317.940000 -0.013090
318.730000 -0.011480
319.520000 -0.009521
320.310000 -0.000167
321.100000 0.001476
321.890000 0.001688
322.680000 0.002210
323.470000 0.002614
324.260000 0.002123
325.050000 -0.008475
325.840000 -0.008850
326.630000 -0.009931
327.420000 -0.018494
328.200000 -0.019309
328.990000 -0.010735
329.780000 -0.011842
330.570000 -0.009950
331.360000 0.005315
332.150000 0.003789
332.940000 0.004041
333.730000 0.004562
334.520000 0.003904
335.300000 -0.000377
336.090000 0.000500
336.880000 -0.000812
337.670000 -0.001557
338.460000 0.000310
339.250000 -0.001103
340.030000 -0.004367
340.820000 -0.002499
341.610000 -0.001503
342.400000 -0.005898
343.190000 -0.004955
343.970000 -0.003262
344.760000 -0.002953
345.550000 -0.002384
346.340000 0.000553
347.120000 0.000444
347.910000 0.001601
348.700000 -0.000964
349.480000 -0.000724
350.270000 -0.000732
351.060000 0.000118
351.850000 -0.001015
352.630000 0.000445
353.420000 0.000201
354.210000 0.001740
354.990000 0.000913
355.780000 0.000825
356.570000 0.000773
357.350000 0.001288
358.140000 -0.000818
358.930000 -0.002008
359.710000 -0.001830
360.500000 -0.000454
361.280000 -0.000550
362.070000 -0.001046
362.860000 0.001479
363.640000 0.004044
364.430000 0.004026
365.210000 0.003051
366.000000 0.005235
366.780000 0.005578
367.570000 0.003913
368.360000 0.002968
369.140000 0.002696
369.930000 0.002279
370.710000 0.018151
371.500000 0.017160
372.280000 0.017918
373.070000 0.022592
373.850000 0.018388
374.640000 -0.002868
375.420000 -0.001129
376.210000 0.009633
376.990000 0.010529
377.780000 0.015345
378.560000 0.021157
379.340000 0.020970
380.130000 0.011464
380.910000 0.011187
381.700000 0.012387
382.480000 0.012008
383.270000 0.011788
384.050000 0.009795
384.830000 0.011405
385.620000 0.010816
386.400000 0.011588
387.180000 0.012755
387.970000 0.014511
388.750000 0.026624
389.540000 0.027153
390.320000 0.028111
391.100000 0.028747
391.890000 0.029253
392.670000 0.013453
393.450000 0.015070
394.230000 0.013860
395.020000 0.016348
395.800000 0.016852
396.580000 0.017360
397.370000 0.011243
398.150000 0.012328
398.930000 0.012843
399.710000 0.013691
400.500000 0.016854
401.280000 0.027885
402.060000 0.029465
402.840000 0.029414
403.630000 0.030377
404.410000 0.029826
405.190000 0.031341
405.970000 0.027356
406.750000 0.025466
407.530000 0.026222
408.320000 0.026642
409.100000 0.025326
409.880000 0.031475
410.660000 0.035909
411.440000 0.036637
412.220000 0.039196
413.010000 0.041678
413.790000 0.039540
414.570000 0.039667
415.350000 0.040984
416.130000 0.042899
416.910000 0.043755
417.690000 0.045625
418.470000 0.047546
419.250000 0.051513
420.030000 0.050204
420.810000 0.052345
421.590000 0.056361
422.370000 0.055571
423.160000 0.053242
423.940000 0.068469
424.720000 0.068183
425.500000 0.062475
426.280000 0.064207
427.060000 0.064763
427.840000 0.058828
428.620000 0.061883
429.400000 0.069371
430.170000 0.070626
430.950000 0.072869
431.730000 0.068973
432.510000 0.068675
433.290000 0.068231
434.070000 0.073657
434.850000 0.075274
435.630000 0.082056
436.410000 0.086288
437.190000 0.091237
437.970000 0.091227
438.750000 0.082436
439.520000 0.071368
440.300000 0.074300
441.080000 0.073970
441.860000 0.075327
442.640000 0.088322
443.420000 0.109607
444.200000 0.113076
444.970000 0.120534
445.750000 0.130279
446.530000 0.135646
447.310000 0.137104
448.090000 0.140452
448.860000 0.144278
449.640000 0.151433
450.420000 0.145446
451.200000 0.152175
451.980000 0.155597
452.750000 0.162711
453.530000 0.164862
454.310000 0.183472
455.080000 0.190513
455.860000 0.160662
456.640000 0.168000
457.420000 0.171410
458.190000 0.173925
458.970000 0.173636
459.750000 0.218204
460.520000 0.218590
461.300000 0.207355
462.080000 0.207805
462.850000 0.211230
463.630000 0.211143
464.410000 0.211823
465.180000 0.225599
465.960000 0.216773
466.740000 0.218257
467.510000 0.226525
468.290000 0.232624
469.060000 0.236050
469.840000 0.255012
470.620000 0.261939
471.390000 0.243462
472.170000 0.225094
472.940000 0.227522
473.720000 0.229492
474.490000 0.231741
475.270000 0.251873
476.040000 0.277300
476.820000 0.286338
477.590000 0.286613
478.370000 0.291296
479.140000 0.294752
479.920000 0.295881
480.690000 0.295778
481.470000 0.306639
482.240000 0.302343
483.020000 0.298929
483.790000 0.308051
484.570000 0.312056
485.340000 0.317094
486.120000 0.331965
486.890000 0.351757
487.660000 0.355323
488.440000 0.377084
489.210000 0.391104
489.990000 0.403223
490.760000 0.406326
491.530000 0.413119
492.310000 0.410118
493.080000 0.415895
493.860000 0.410887
494.630000 0.408156
495.400000 0.415893
496.180000 0.416645
496.950000 0.379124
497.720000 0.395614
498.500000 0.409685
499.270000 0.405967
500.040000 0.423230
500.810000 0.479870
501.590000 0.480283
502.360000 0.491619
503.130000 0.522856
503.910000 0.487342
504.680000 0.491387
505.450000 0.502757
506.220000 0.508738
507.000000 0.513071
507.770000 0.558560
508.540000 0.563980
509.310000 0.568668
510.080000 0.568232
510.860000 0.547652
511.630000 0.543373
512.400000 0.545490
513.170000 0.537982
513.940000 0.545932
514.720000 0.576490
515.490000 0.590581
516.260000 0.598875
517.030000 0.607350
517.800000 0.607357
518.570000 0.611285
519.340000 0.627908
520.110000 0.632296
520.890000 0.647747
521.660000 0.657820
522.430000 0.652798
523.200000 0.644755
523.970000 0.649905
524.740000 0.652692
525.510000 0.655363
526.280000 0.671407
527.050000 0.676258
527.820000 0.685370
528.590000 0.664208
529.360000 0.684135
530.130000 0.657667
530.900000 0.664017
531.670000 0.666092
532.440000 0.697552
533.210000 0.685230
533.980000 0.688131
534.750000 0.686180
535.520000 0.687133
536.290000 0.691885
537.060000 0.703683
537.830000 0.727028
538.600000 0.738540
539.370000 0.740841
540.140000 0.727127
540.910000 0.726430
541.670000 0.687141
542.440000 0.686010
543.210000 0.680721
543.980000 0.698769
544.750000 0.702101
545.520000 0.757816
546.290000 0.772329
547.060000 0.776445
547.820000 0.751587
548.590000 0.745337
549.360000 0.708666
550.130000 0.696465
550.900000 0.680284
551.670000 0.695015
552.430000 0.698155
553.200000 0.718633
553.970000 0.727870
554.740000 0.768198
555.500000 0.751907
556.270000 0.757035
557.040000 0.758133
557.810000 0.754377
558.570000 0.727695
559.340000 0.670652
560.110000 0.660436
560.880000 0.677327
561.640000 0.681804
562.410000 0.681395
563.180000 0.760293
563.940000 0.768356
564.710000 0.736700
565.480000 0.741351
566.240000 0.764875
567.010000 0.754570
567.780000 0.768861
568.540000 0.810794
569.310000 0.786342
570.080000 0.790762
570.840000 0.811487
571.610000 0.790936
572.370000 0.754501
573.140000 0.733314
573.910000 0.734408
574.670000 0.735197
575.440000 0.759250
576.200000 0.790528
576.970000 0.845736
577.730000 0.844052
578.500000 0.846894
579.270000 0.844345
580.030000 0.843018
580.800000 0.842374
581.560000 0.837359
582.330000 0.794117
583.090000 0.790699
583.860000 0.797214
584.620000 0.740255
585.390000 0.746344
586.150000 0.790575
586.910000 0.781499
587.680000 0.782965
588.440000 0.851865
589.210000 0.842434
589.970000 0.837307
590.740000 0.842286
591.500000 0.852878
592.270000 0.855804
593.030000 0.860480
593.790000 0.863942
594.560000 0.866482
595.320000 0.866812
596.080000 0.864153
596.850000 0.877252
