Wavelength	OD
196.210000 -0.000138
197.010000 0.001119
197.810000 -0.001515
198.610000 -0.001695
199.410000 -0.002797
200.210000 -0.001959
201.010000 -0.001799
201.810000 -0.001010
202.610000 -0.001208
203.410000 -0.000749
204.220000 0.000772
205.020000 0.002470
205.820000 0.002778
206.620000 0.002166
207.420000 0.002927
208.220000 0.001750
209.020000 0.000618
209.820000 -0.005854
210.620000 -0.003938
211.420000 -0.003241
212.220000 -0.003924
213.020000 -0.004094
213.820000 -0.008965
214.610000 -0.012440
215.410000 -0.013644
216.210000 -0.013964
217.010000 -0.013068
217.810000 -0.004294
218.610000 -0.001831
219.410000 -0.001082
220.210000 0.000805
221.010000 0.000196
221.810000 0.003290
222.610000 0.001390
223.410000 0.004486
224.200000 -0.008920
225.000000 -0.009393
225.800000 -0.011208
226.600000 -0.010076
227.400000 -0.014399
228.200000 -0.004650
228.990000 -0.005550
229.790000 0.001152
230.590000 0.002317
231.390000 0.002766
232.190000 0.002109
232.980000 0.003134
233.780000 -0.002069
234.580000 -0.003384
235.380000 -0.002714
236.180000 -0.002605
236.970000 -0.002307
237.770000 -0.002282
238.570000 -0.001688
239.370000 -0.001750
240.160000 -0.000779
240.960000 -0.001366
241.760000 -0.009835
242.550000 -0.008649
243.350000 -0.007214
244.150000 -0.007475
244.940000 0.006368
245.740000 0.012022
246.540000 0.011611
247.330000 0.011566
248.130000 0.011393
248.930000 -0.002427
249.720000 -0.001448
250.520000 -0.000368
251.320000 -0.000558
252.110000 -0.001064
252.910000 0.001622
253.700000 -0.001436
254.500000 -0.003094
255.300000 -0.003603
256.090000 -0.002063
256.890000 -0.003998
257.680000 -0.002176
258.480000 -0.001148
259.270000 -0.000555
260.070000 0.002468
260.870000 0.002628
261.660000 0.001606
262.460000 0.001155
263.250000 0.002420
264.050000 -0.001545
264.840000 -0.000873
265.640000 0.001872
266.430000 -0.000846
267.230000 -0.001363
268.020000 -0.002433
268.810000 -0.002972
269.610000 -0.003655
270.400000 -0.002458
271.200000 -0.003466
271.990000 -0.003630
272.790000 -0.002567
273.580000 -0.002569
274.380000 -0.001727
275.170000 -0.000595
275.960000 0.002058
276.760000 0.000729
277.550000 0.006085
278.340000 0.006437
279.140000 0.007152
279.930000 0.005594
280.730000 0.006424
281.520000 0.000027
282.310000 -0.000283
283.110000 -0.001190
283.900000 -0.001043
284.690000 -0.000735
285.490000 -0.000071
286.280000 0.000547
287.070000 0.000349
287.860000 0.011407
288.660000 0.009272
289.450000 0.008205
290.240000 0.007388
291.030000 0.006365
291.830000 -0.002060
292.620000 -0.000813
293.410000 -0.001290
294.200000 -0.001471
295.000000 0.000026
295.790000 0.000352
296.580000 -0.000302
297.370000 -0.000190
298.160000 0.001581
298.960000 0.001004
299.750000 0.001296
300.540000 -0.004754
301.330000 -0.005108
302.120000 -0.005044
302.920000 -0.006084
303.710000 -0.006205
304.500000 -0.000414
305.290000 -0.000692
306.080000 -0.001539
306.870000 -0.000461
307.660000 -0.000182
308.450000 -0.002558
309.240000 -0.001659
310.040000 -0.003066
310.830000 -0.003026
311.620000 -0.003762
312.410000 -0.001548
313.200000 -0.001723
313.990000 -0.000474
314.780000 0.000825
315.570000 0.002165
316.360000 -0.009122
317.150000 -0.009736
317.940000 -0.009672
318.730000 -0.016412
319.520000 -0.016145
320.310000 -0.007738
321.100000 -0.006880
321.890000 -0.006856
322.680000 -0.001010
323.470000 -0.005659
324.260000 -0.003275
325.050000 -0.004094
325.840000 -0.004866
326.630000 -0.004919
327.420000 -0.007549
328.200000 -0.007416
328.990000 -0.007814
329.780000 -0.008637
330.570000 -0.007084
331.360000 0.006189
332.150000 0.003961
332.940000 0.004206
333.730000 0.006195
334.520000 0.005317
335.300000 0.000731
336.090000 0.002313
336.880000 0.001419
337.670000 -0.000535
338.460000 0.001168
339.250000 -0.000070
340.030000 -0.002675
340.820000 -0.000413
341.610000 0.000685
342.400000 -0.001993
343.190000 -0.000719
343.970000 0.001200
344.760000 -0.000077
345.550000 0.000762
346.340000 0.002983
347.120000 0.002647
347.910000 0.003393
348.700000 0.001215
349.480000 -0.000444
350.270000 0.001634
351.060000 0.003633
351.850000 0.001349
352.630000 0.000954
353.420000 0.001007
354.210000 -0.001418
354.990000 -0.003434
355.780000 -0.001755
356.570000 -0.000080
357.350000 0.002026
358.140000 0.000979
358.930000 0.001579
359.710000 0.001592
360.500000 0.002613
361.280000 0.001558
362.070000 0.002662
362.860000 0.004192
363.640000 0.005778
364.430000 0.005465
365.210000 0.006481
366.000000 0.005704
366.780000 0.004980
367.570000 0.003696
368.360000 0.002863
369.140000 0.001802
369.930000 0.002656
370.710000 0.018297
371.500000 0.017731
372.280000 0.019163
373.070000 0.024870
373.850000 0.020135
374.640000 -0.000972
375.420000 -0.000719
376.210000 0.010165
376.990000 0.009230
377.780000 0.013366
378.560000 0.017967
379.340000 0.019006
380.130000 0.007126
380.910000 0.007609
381.700000 0.010541
382.480000 0.010290
383.270000 0.009935
384.050000 0.013767
384.830000 0.015236
385.620000 0.014359
386.400000 0.015070
387.180000 0.015449
387.970000 0.012424
388.750000 0.022759
389.540000 0.024187
390.320000 0.026551
391.100000 0.027634
391.890000 0.029952
392.670000 0.020636
393.450000 0.019782
394.230000 0.018245
395.020000 0.020181
395.800000 0.018553
396.580000 0.017360
397.370000 0.011319
398.150000 0.011693
398.930000 0.013402
399.710000 0.014107
400.500000 0.014922
401.280000 0.026063
402.060000 0.028812
402.840000 0.025617
403.630000 0.026785
404.410000 0.027332
405.190000 0.029027
405.970000 0.028157
406.750000 0.024720
407.530000 0.026317
408.320000 0.018297
409.100000 0.017957
409.880000 0.019639
410.660000 0.025639
