TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	16:49:31
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	1.00894
MAXY	1.01595
MINY	0.00104
XYDATA
592.0000	2.567
591.0000	2.377
590.0000	2.163
589.0000	2
588.0000	1.856
587.0000	1.734
586.0000	1.659
585.0000	1.605
584.0000	1.586
583.0000	1.603
582.0000	1.651
581.0000	1.711
580.0000	1.838
579.0000	1.984
578.0000	2.123
577.0000	2.291
576.0000	2.473
575.0000	2.633
574.0000	2.799
573.0000	2.958
572.0000	3.047
571.0000	3.155
570.0000	3.237
569.0000	3.273
568.0000	3.289
567.0000	3.303
566.0000	3.326
565.0000	3.35
564.0000	3.424
563.0000	3.46
562.0000	3.53
561.0000	3.633
560.0000	3.772
559.0000	3.95
558.0000	4.121
557.0000	4.309
556.0000	4.495
555.0000	4.706
554.0000	4.909
553.0000	5.11
552.0000	5.308
551.0000	5.477
550.0000	5.667
549.0000	5.815
548.0000	6.001
547.0000	6.152
546.0000	6.326
545.0000	6.498
544.0000	6.689
543.0000	6.893
542.0000	7.095
541.0000	7.378
540.0000	7.644
539.0000	7.96
538.0000	8.291
537.0000	8.626
536.0000	8.971
535.0000	9.294
534.0000	9.652
533.0000	9.946
532.0000	10.209
531.0000	10.461
530.0000	10.636
529.0000	10.808
528.0000	10.896
527.0000	11.039
526.0000	11.115
525.0000	11.192
524.0000	11.341
523.0000	11.55
522.0000	11.799
521.0000	12.028
520.0000	12.419
519.0000	12.542
518.0000	12.658
517.0000	12.747
516.0000	13.004
515.0000	13.256
514.0000	13.532
513.0000	13.835
512.0000	14.134
511.0000	14.375
510.0000	14.59
509.0000	14.841
508.0000	15.095
507.0000	15.355
506.0000	15.548
505.0000	15.837
504.0000	16.08
503.0000	16.334
502.0000	16.67
501.0000	16.979
500.0000	17.234
499.0000	17.526
498.0000	17.793
497.0000	18.021
496.0000	18.205
495.0000	18.426
494.0000	18.566
493.0000	18.675
492.0000	18.702
491.0000	18.754
490.0000	18.79
489.0000	18.782
488.0000	18.688
487.0000	18.613
486.0000	18.535
485.0000	18.413
484.0000	18.304
483.0000	18.121
482.0000	17.945
481.0000	17.72
480.0000	17.586
479.0000	17.359
478.0000	17.084
477.0000	16.874
476.0000	16.73
475.0000	16.52
474.0000	16.299
473.0000	16.149
472.0000	15.931
471.0000	15.808
470.0000	15.667
469.0000	15.512
468.0000	15.422
467.0000	15.398
