TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	16:56:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	2.96658
MAXY	3.12991
MINY	0.00516
XYDATA
591.0000	9.009
590.0000	8.313
589.0000	7.609
588.0000	7.154
587.0000	6.714
586.0000	6.482
585.0000	6.454
584.0000	6.472
583.0000	6.491
582.0000	6.674
581.0000	7.046
580.0000	7.41
579.0000	7.817
578.0000	8.259
577.0000	8.813
576.0000	9.374
575.0000	9.879
574.0000	10.376
573.0000	10.832
572.0000	11.23
571.0000	11.677
570.0000	11.995
569.0000	12.167
568.0000	12.314
567.0000	12.535
566.0000	12.67
565.0000	12.822
564.0000	13.041
563.0000	13.308
562.0000	13.767
561.0000	14.297
560.0000	14.828
559.0000	15.513
558.0000	16.361
557.0000	17.207
556.0000	18.117
555.0000	18.946
554.0000	19.804
553.0000	20.67
552.0000	21.538
551.0000	22.333
550.0000	23.018
549.0000	23.657
548.0000	24.258
547.0000	25.036
546.0000	25.576
545.0000	26.255
544.0000	27.02
543.0000	27.529
542.0000	28.249
541.0000	29.386
540.0000	30.49
539.0000	31.539
538.0000	32.804
537.0000	33.822
536.0000	34.883
535.0000	36.246
534.0000	37.563
533.0000	38.486
532.0000	39.352
531.0000	40.008
530.0000	40.722
529.0000	41.279
528.0000	41.739
527.0000	42.072
526.0000	42.243
525.0000	42.496
524.0000	43.224
523.0000	44.13
522.0000	45.08
521.0000	46.226
520.0000	47.105
519.0000	47.343
518.0000	47.777
517.0000	48.265
516.0000	49.304
515.0000	50.75
514.0000	51.7
513.0000	53.036
512.0000	54.115
511.0000	55.365
510.0000	56.234
509.0000	57.232
508.0000	58.056
507.0000	58.665
506.0000	59.969
505.0000	61.117
504.0000	62.131
503.0000	63.246
502.0000	64.746
501.0000	66.485
500.0000	68.227
499.0000	69.966
498.0000	71.517
497.0000	72.95
496.0000	74.854
495.0000	76.693
494.0000	78.04
493.0000	79.371
492.0000	80.544
491.0000	81.632
490.0000	82.815
489.0000	84.087
488.0000	84.872
487.0000	85.543
486.0000	86.32
485.0000	86.468
484.0000	86.87
483.0000	87.726
482.0000	88
481.0000	88.111
480.0000	88.403
479.0000	88.262
478.0000	88.379
477.0000	88.813
476.0000	88.852
475.0000	88.51
474.0000	88.194
473.0000	87.496
472.0000	86.921
471.0000	86.894
470.0000	86.651
469.0000	86.606
468.0000	86.699
467.0000	86.832
466.0000	87.097
