TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	17:32:01
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	0.78116
MAXY	0.78235
MINY	0.01065
XYDATA
800.0000	78.116
799.0000	77.994
798.0000	78.235
797.0000	77.906
796.0000	77.945
795.0000	77.926
794.0000	77.424
793.0000	76.673
792.0000	76.568
791.0000	76.744
790.0000	76.659
789.0000	77.173
788.0000	76.98
787.0000	77.479
786.0000	77.459
785.0000	77.588
784.0000	77.429
783.0000	77.059
782.0000	76.893
781.0000	76.152
780.0000	76.302
779.0000	76.686
778.0000	77.042
777.0000	77.09
776.0000	77.417
775.0000	77.453
774.0000	77.66
773.0000	77.87
772.0000	77.79
771.0000	77.207
770.0000	77.169
769.0000	76.652
768.0000	76.339
767.0000	76.288
766.0000	76.094
765.0000	76.314
764.0000	76.331
763.0000	76.367
762.0000	76.165
761.0000	76.397
760.0000	76.294
759.0000	76.231
758.0000	76.369
757.0000	76.08
756.0000	76.084
755.0000	76.13
754.0000	76.396
753.0000	76.528
752.0000	76.766
751.0000	76.603
750.0000	76.469
749.0000	76.635
748.0000	76.533
747.0000	76.671
746.0000	76.526
745.0000	76.762
744.0000	76.694
743.0000	76.783
742.0000	76.741
741.0000	76.725
740.0000	76.881
739.0000	76.984
738.0000	77.012
737.0000	76.84
736.0000	76.507
735.0000	76.928
734.0000	76.959
733.0000	77.236
732.0000	76.891
731.0000	76.307
730.0000	76.197
729.0000	76.155
728.0000	76.13
727.0000	75.693
726.0000	75.521
725.0000	74.835
724.0000	74.789
723.0000	75.143
722.0000	74.872
721.0000	75.185
720.0000	75.015
719.0000	75.028
718.0000	75.293
717.0000	75.547
716.0000	75.671
715.0000	75.547
714.0000	75.627
713.0000	75.592
712.0000	75.832
711.0000	75.99
710.0000	75.84
709.0000	75.61
708.0000	75.528
707.0000	75.276
706.0000	75.202
705.0000	75.139
704.0000	75.08
703.0000	75.09
702.0000	74.81
701.0000	74.751
700.0000	74.452
699.0000	74.96
698.0000	74.756
697.0000	74.611
696.0000	74.221
695.0000	73.929
694.0000	73.98
693.0000	73.626
692.0000	73.507
691.0000	72.89
690.0000	72.838
689.0000	72.438
688.0000	72.235
687.0000	71.997
686.0000	71.421
685.0000	71.283
684.0000	70.958
683.0000	70.886
682.0000	70.375
681.0000	70.231
680.0000	69.737
679.0000	69.299
678.0000	68.923
677.0000	68.379
676.0000	68.122
675.0000	67.533
674.0000	67.043
673.0000	66.102
672.0000	65.703
671.0000	64.979
670.0000	64.431
669.0000	63.578
668.0000	62.494
667.0000	61.17
666.0000	59.994
665.0000	58.808
664.0000	57.034
663.0000	55.229
662.0000	52.95
661.0000	50.592
660.0000	47.877
659.0000	45.053
658.0000	41.746
657.0000	38.249
656.0000	34.843
655.0000	30.996
654.0000	27.273
653.0000	23.771
652.0000	20.386
651.0000	17.129
650.0000	14.28
649.0000	11.758
648.0000	9.498
647.0000	7.707
646.0000	6.163
645.0000	4.862
644.0000	3.832
643.0000	3.046
642.0000	2.417
641.0000	1.942
640.0000	1.58
639.0000	1.328
638.0000	1.177
637.0000	1.096
636.0000	1.065
635.0000	1.081
634.0000	1.141
633.0000	1.231
632.0000	1.366
631.0000	1.552
630.0000	1.776
629.0000	2.053
628.0000	2.368
627.0000	2.705
626.0000	3.103
625.0000	3.526
624.0000	3.995
623.0000	4.488
622.0000	4.976
621.0000	5.51
620.0000	6.091
619.0000	6.677
618.0000	7.265
617.0000	7.866
616.0000	8.407
615.0000	8.968
614.0000	9.499
613.0000	9.986
612.0000	10.456
611.0000	10.884
610.0000	11.301
609.0000	11.694
608.0000	12.104
607.0000	12.417
606.0000	12.741
605.0000	12.974
604.0000	13.108
603.0000	13.194
602.0000	13.165
601.0000	13.054
600.0000	12.791
599.0000	12.512
598.0000	12.1
597.0000	11.658
596.0000	11.184
595.0000	10.673
594.0000	10.125
593.0000	9.57
