TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	17:30:12
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	0.77823
MAXY	0.78547
MINY	0.01866
XYDATA
800.0000	77.823
799.0000	77.424
798.0000	77.976
797.0000	77.701
796.0000	77.637
795.0000	77.771
794.0000	78.021
793.0000	77.804
792.0000	77.511
791.0000	77.718
790.0000	77.178
789.0000	77.574
788.0000	77.594
787.0000	78.284
786.0000	78.264
785.0000	78.173
784.0000	78.547
783.0000	77.673
782.0000	77.895
781.0000	77.449
780.0000	77.27
779.0000	77.526
778.0000	77.478
777.0000	77.669
776.0000	77.429
775.0000	77.544
774.0000	77.32
773.0000	77.007
772.0000	76.958
771.0000	76.297
770.0000	76.139
769.0000	75.946
768.0000	75.722
767.0000	76.157
766.0000	76.48
765.0000	77.284
764.0000	77.36
763.0000	77.41
762.0000	77.421
761.0000	77.21
760.0000	77.282
759.0000	77.429
758.0000	77.508
757.0000	77.347
756.0000	77.607
755.0000	77.336
754.0000	77.256
753.0000	77.467
752.0000	77.021
751.0000	76.004
750.0000	75.84
749.0000	75.478
748.0000	75.217
747.0000	75.573
746.0000	75.545
745.0000	75.378
744.0000	76.627
743.0000	77.022
742.0000	77.279
741.0000	77.753
740.0000	76.815
739.0000	76.619
738.0000	76.689
737.0000	76.813
736.0000	76.463
735.0000	76.644
734.0000	77.207
733.0000	77.397
732.0000	77.138
731.0000	76.793
730.0000	76.897
729.0000	76.564
728.0000	76.555
727.0000	76.083
726.0000	75.885
725.0000	75.425
724.0000	75.556
723.0000	76.111
722.0000	75.741
721.0000	76.062
720.0000	76.234
719.0000	76.484
718.0000	76.481
717.0000	76.588
716.0000	76.621
715.0000	76.302
714.0000	76.398
713.0000	76.224
712.0000	76.435
711.0000	76.577
710.0000	76.67
709.0000	76.602
708.0000	76.444
707.0000	76.295
706.0000	75.837
705.0000	75.883
704.0000	75.356
703.0000	74.96
702.0000	74.643
701.0000	74.706
700.0000	74.512
699.0000	74.747
698.0000	74.932
697.0000	74.71
696.0000	74.764
695.0000	74.64
694.0000	74.645
693.0000	74.473
692.0000	74.392
691.0000	73.953
690.0000	73.731
689.0000	73.575
688.0000	73.288
687.0000	73.142
686.0000	72.919
685.0000	72.774
684.0000	72.461
683.0000	72.278
682.0000	72.057
681.0000	71.844
680.0000	71.369
679.0000	71.027
678.0000	70.431
677.0000	69.881
676.0000	69.801
675.0000	69.433
674.0000	69.181
673.0000	68.55
672.0000	68.109
671.0000	67.485
670.0000	67.006
669.0000	66.406
668.0000	65.332
667.0000	64.282
666.0000	63.122
665.0000	61.962
664.0000	60.748
663.0000	59.138
662.0000	57.281
661.0000	55.066
660.0000	52.742
659.0000	50.13
658.0000	46.962
657.0000	43.654
656.0000	40.143
655.0000	36.408
654.0000	32.48
653.0000	28.687
652.0000	24.904
651.0000	21.257
650.0000	18.006
649.0000	15.031
648.0000	12.399
647.0000	10.149
646.0000	8.318
645.0000	6.735
644.0000	5.48
643.0000	4.483
642.0000	3.687
641.0000	3.08
640.0000	2.625
639.0000	2.318
638.0000	2.092
637.0000	1.928
636.0000	1.866
635.0000	1.872
634.0000	1.967
633.0000	2.127
632.0000	2.366
631.0000	2.638
630.0000	2.992
629.0000	3.441
628.0000	3.929
627.0000	4.468
626.0000	5.063
625.0000	5.713
624.0000	6.415
623.0000	7.192
622.0000	8.001
621.0000	8.825
620.0000	9.692
619.0000	10.578
618.0000	11.494
617.0000	12.41
616.0000	13.238
615.0000	14.029
614.0000	14.826
613.0000	15.589
612.0000	16.311
611.0000	17.009
610.0000	17.636
609.0000	18.182
608.0000	18.806
607.0000	19.271
606.0000	19.626
605.0000	19.865
604.0000	20.032
603.0000	20.08
602.0000	19.979
601.0000	19.816
600.0000	19.426
599.0000	18.925
598.0000	18.339
597.0000	17.691
596.0000	16.955
595.0000	16.158
594.0000	15.384
593.0000	14.525
