TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	17:34:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	0.77224
MAXY	0.77820
MINY	0.00607
XYDATA
591.0000	6.272
590.0000	5.937
589.0000	5.621
588.0000	5.402
587.0000	5.206
586.0000	5.006
585.0000	4.944
584.0000	4.891
583.0000	4.955
582.0000	5.069
581.0000	5.269
580.0000	5.487
579.0000	5.762
578.0000	6.081
577.0000	6.367
576.0000	6.725
575.0000	7.077
574.0000	7.423
573.0000	7.715
572.0000	7.972
571.0000	8.163
570.0000	8.328
569.0000	8.487
568.0000	8.579
567.0000	8.614
566.0000	8.619
565.0000	8.642
564.0000	8.68
563.0000	8.756
562.0000	8.866
561.0000	8.992
560.0000	9.13
559.0000	9.359
558.0000	9.622
557.0000	9.837
556.0000	10.084
555.0000	10.331
554.0000	10.553
553.0000	10.749
552.0000	11.016
551.0000	11.222
550.0000	11.404
549.0000	11.613
548.0000	11.831
547.0000	12.096
546.0000	12.328
545.0000	12.579
544.0000	12.838
543.0000	13.086
542.0000	13.395
541.0000	13.777
540.0000	14.112
539.0000	14.436
538.0000	14.914
537.0000	15.346
536.0000	15.772
535.0000	16.215
534.0000	16.593
533.0000	16.947
532.0000	17.252
531.0000	17.544
530.0000	17.747
529.0000	18.013
528.0000	18.191
527.0000	18.292
526.0000	18.44
525.0000	18.552
524.0000	18.822
523.0000	19.01
522.0000	19.316
521.0000	19.679
520.0000	20.129
519.0000	20.187
518.0000	20.259
517.0000	20.453
516.0000	20.785
515.0000	21.145
514.0000	21.494
513.0000	21.891
512.0000	22.29
511.0000	22.601
510.0000	22.902
509.0000	23.212
508.0000	23.481
507.0000	23.703
506.0000	23.887
505.0000	24.058
504.0000	24.258
503.0000	24.523
502.0000	24.874
501.0000	25.088
500.0000	25.215
499.0000	25.388
498.0000	25.626
497.0000	25.803
496.0000	25.906
495.0000	25.947
494.0000	25.833
493.0000	25.779
492.0000	25.661
491.0000	25.518
490.0000	25.242
489.0000	24.93
488.0000	24.631
487.0000	24.323
486.0000	23.997
485.0000	23.656
484.0000	23.402
483.0000	23.154
482.0000	22.837
481.0000	22.56
480.0000	22.279
479.0000	22.027
478.0000	21.731
477.0000	21.408
476.0000	21.095
475.0000	20.798
474.0000	20.55
473.0000	20.279
472.0000	20.042
471.0000	19.799
470.0000	19.624
469.0000	19.465
468.0000	19.374
467.0000	19.175
466.0000	19.086
