TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	17:42:35
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	0.77138
MAXY	0.77514
MINY	0.00119
XYDATA
800.0000	77.138
799.0000	77.436
798.0000	77.26
797.0000	76.889
796.0000	76.514
795.0000	76.617
794.0000	76.804
793.0000	76.639
792.0000	76.414
791.0000	75.888
790.0000	76.145
789.0000	76.103
788.0000	76.604
787.0000	77.458
786.0000	77.514
785.0000	76.815
784.0000	76.492
783.0000	76.565
782.0000	76.443
781.0000	76.293
780.0000	75.873
779.0000	75.864
778.0000	75.563
777.0000	76.358
776.0000	76.631
775.0000	76.741
774.0000	76.956
773.0000	76.971
772.0000	77.014
771.0000	76.942
770.0000	77.095
769.0000	76.721
768.0000	76.545
767.0000	76.592
766.0000	76.269
765.0000	76.393
764.0000	76.48
763.0000	76.286
762.0000	76.15
761.0000	76.022
760.0000	76.291
759.0000	76.684
758.0000	76.706
757.0000	76.788
756.0000	76.548
755.0000	76.371
754.0000	76.612
753.0000	76.962
752.0000	76.396
751.0000	75.465
750.0000	75.841
749.0000	75.711
748.0000	76.067
747.0000	76.127
746.0000	75.882
745.0000	75.635
744.0000	76.295
743.0000	75.563
742.0000	75.778
741.0000	76.335
740.0000	75.648
739.0000	75.3
738.0000	75.142
737.0000	75.002
736.0000	74.702
735.0000	74.935
734.0000	75.442
733.0000	75.738
732.0000	75.728
731.0000	75.588
730.0000	75.646
729.0000	75.8
728.0000	75.947
727.0000	75.674
726.0000	75.376
725.0000	74.608
724.0000	74.494
723.0000	74.514
722.0000	74.157
721.0000	74.149
720.0000	74.158
719.0000	74.246
718.0000	74.202
717.0000	74.269
716.0000	74.301
715.0000	73.916
714.0000	74.171
713.0000	73.8
712.0000	73.892
711.0000	73.898
710.0000	73.767
709.0000	73.731
708.0000	73.883
707.0000	74.072
706.0000	73.599
705.0000	73.627
704.0000	73.117
703.0000	72.839
702.0000	72.829
701.0000	72.591
700.0000	71.986
699.0000	72.108
698.0000	71.802
697.0000	71.45
696.0000	71.081
695.0000	70.445
694.0000	69.855
693.0000	69.391
692.0000	69.283
691.0000	68.514
690.0000	68.278
689.0000	68.01
688.0000	67.66
687.0000	67.461
686.0000	67.153
685.0000	66.583
684.0000	65.878
683.0000	65.338
682.0000	64.51
681.0000	63.814
680.0000	62.785
679.0000	61.753
678.0000	60.78
677.0000	60.008
676.0000	59.178
675.0000	58.294
674.0000	57.327
673.0000	56.006
672.0000	54.878
671.0000	53.599
670.0000	52.208
669.0000	50.581
668.0000	48.867
667.0000	46.712
666.0000	44.61
665.0000	42.455
664.0000	39.951
663.0000	37.247
662.0000	34.285
661.0000	31.189
660.0000	27.836
659.0000	24.613
658.0000	21.35
657.0000	18.124
656.0000	15.228
655.0000	12.498
654.0000	10.064
653.0000	7.952
652.0000	6.174
651.0000	4.698
650.0000	3.501
649.0000	2.586
648.0000	1.852
647.0000	1.331
646.0000	0.929
645.0000	0.639
644.0000	0.455
643.0000	0.338
642.0000	0.255
641.0000	0.187
640.0000	0.157
639.0000	0.124
638.0000	0.133
637.0000	0.131
636.0000	0.119
635.0000	0.12
634.0000	0.139
633.0000	0.157
632.0000	0.176
631.0000	0.208
630.0000	0.234
629.0000	0.287
628.0000	0.347
627.0000	0.412
626.0000	0.503
625.0000	0.619
624.0000	0.753
623.0000	0.907
622.0000	1.079
621.0000	1.273
620.0000	1.496
619.0000	1.743
618.0000	1.98
617.0000	2.229
616.0000	2.483
615.0000	2.761
614.0000	3.033
613.0000	3.299
612.0000	3.569
611.0000	3.835
610.0000	4.081
609.0000	4.317
608.0000	4.531
607.0000	4.703
606.0000	4.859
605.0000	4.96
604.0000	5.02
603.0000	5.005
602.0000	4.989
601.0000	4.893
600.0000	4.746
599.0000	4.541
598.0000	4.31
597.0000	4.048
596.0000	3.777
595.0000	3.491
594.0000	3.166
593.0000	2.902
